workload,policy,sim_ticks,totalEnergy,readEnergy,writeEnergy,actEnergy,preEnergy,refreshEnergy,actBackEnergy,preBackEnergy,opEnergy,totalEnergy_delta_vs_none_pct,opEnergy_delta_vs_none_pct,sim_ticks_delta_vs_none_pct
sqlite_medium,none,52394114439,100488842354.408,297580224.278,110153760.864,97407981.216,171935022.470,18194031395.232,42644070394.061,38973663576.288,677076988.828,0.000,0.000,0.000
sqlite_medium,naive,52388923635,100608988918.551,298778872.627,110321253.840,97958440.944,172873760.825,18191327973.034,43055772759.216,38681955858.068,679932328.236,0.120,0.422,-0.010
sqlite_medium,copper_clpd64k_peb,52394046840,100571188370.821,298521039.802,110245764.048,97708940.784,172386497.808,18191327973.034,42922428750.163,38778569405.185,678862242.442,0.082,0.264,-0.000
sqlite_medium,spp,50495726727,98622765038.027,436069366.454,117882028.320,114280429.536,201669078.089,17531692956.625,46161850231.056,34059320947.950,869900902.399,-1.857,28.479,-3.623
sqlite_medium,spp_copper_slack,50499202248,98672391645.440,436099538.381,117898541.712,114461317.152,201958132.421,17534396378.823,46269613388.544,33997964348.410,870417529.666,-1.808,28.555,-3.617
sqlite_stress,none,104853074301,208222845190.936,583184936.678,209691769.728,199366221.600,351850697.402,36406986745.847,108408525761.394,62063239058.284,1344093625.408,0.000,0.000,0.000
sqlite_stress,naive,104845717998,208422623841.499,588525367.651,210173017.152,201917360.736,356354439.185,36404283323.648,109052779854.636,61608590478.489,1356970184.724,0.096,0.958,-0.007
sqlite_stress,copper_clpd64k_peb,104813948799,208176333147.199,585834580.397,209564380.704,201048788.304,354845850.862,36393469634.855,108452856661.939,61978713250.137,1351293600.267,-0.022,0.536,-0.037
sqlite_stress,spp,102140339751,209129714338.120,1121616677.798,246094362.864,263974288.032,465936312.895,35466195820.803,123376615661.581,48189281214.144,2097621641.589,0.436,56.062,-2.587
sqlite_stress,spp_copper_slack,102179909475,209193572962.450,1122568464.931,245976410.064,267270808.896,471744928.519,35479712931.795,123339858744.232,48266440674.009,2107560612.410,0.466,56.802,-2.549
