workload,tag,policy,core_model,status,xml,mcpat_output,run_dir,sim_ticks,roi_cycles,clock_mhz,committed,committed_not_nop,loads,stores,branches,int_insts,fp_insts,simd_like,mul_like,ialu_like,l1d_read_access,l1d_write_access,l1d_read_miss,l1d_write_miss,l1i_read_access,l1i_read_miss,l2_read_access,l2_write_access,l2_read_miss,l2_write_miss,itlb_access,itlb_miss,dtlb_read_access,dtlb_read_miss,mcpat_core_area,mcpat_core_gate_leakage_power,mcpat_core_peak_dynamic_power,mcpat_core_runtime_dynamic_energy,mcpat_core_runtime_dynamic_power,mcpat_core_subthreshold_leakage_power,mcpat_core_total_runtime_energy,mcpat_l1d_area,mcpat_l1d_gate_leakage_power,mcpat_l1d_peak_dynamic_power,mcpat_l1d_runtime_dynamic_energy,mcpat_l1d_runtime_dynamic_power,mcpat_l1d_subthreshold_leakage_power,mcpat_l1d_total_runtime_energy,mcpat_l1i_area,mcpat_l1i_gate_leakage_power,mcpat_l1i_peak_dynamic_power,mcpat_l1i_runtime_dynamic_energy,mcpat_l1i_runtime_dynamic_power,mcpat_l1i_subthreshold_leakage_power,mcpat_l1i_total_runtime_energy,mcpat_l2_area,mcpat_l2_gate_leakage_power,mcpat_l2_peak_dynamic_power,mcpat_l2_runtime_dynamic_energy,mcpat_l2_runtime_dynamic_power,mcpat_l2_subthreshold_leakage_power,mcpat_l2_total_runtime_energy,mcpat_system_area,mcpat_system_gate_leakage_power,mcpat_system_peak_dynamic_power,mcpat_system_runtime_dynamic_energy,mcpat_system_runtime_dynamic_power,mcpat_system_subthreshold_leakage_power,mcpat_system_total_runtime_energy,mcpat_system_runtime_dynamic_power_delta_vs_none_pct,mcpat_system_runtime_dynamic_energy_delta_vs_none_pct,mcpat_system_total_runtime_energy_delta_vs_none_pct,mcpat_core_runtime_dynamic_power_delta_vs_none_pct,mcpat_l2_runtime_dynamic_power_delta_vs_none_pct,sim_ticks_delta_vs_none_pct,l1d_read_miss_delta_vs_none_pct,l2_read_miss_delta_vs_none_pct
sqlite_medium,sqlite_app_medium,none,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_medium_none_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_medium_none_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_medium_none,52394114439,157339683,3003,63359847,63163423,16549686,10738365,13829408,63359847,0,601323,658170,20982895,16618200,10737424,454304,87329,63360363,3222230,3769292,3586200,112327,1132,63361722,10601,16620595,29833,2.42687,0.00716757,0.461677,0.00960027,0.183232,0.261667,0.0236856,0.325132,0.0283947,0,0.0890218,1.69908,0.266594,0.104477,1.65055,0.00190246,0.257386,0.00296415,0.0565741,0.0602003,0.00621798,0.233996,0.000211076,0.0407266,1.31909e-08,2.51763e-07,0.00450795,0.000247263,13.3715,0.221282,4.08798,0.137404,2.6225,5.10903,0.416681,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sqlite_medium,sqlite_app_medium,naive,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_medium_naive_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_medium_naive_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_medium_naive,52388923635,157324095,3003,63359644,63163222,16549643,10738335,13829359,63359644,0,601323,658170,20982814,16618158,10737396,450010,89226,63360160,3222224,3798308,3605717,112781,1122,63361519,10610,16620549,29834,2.42687,0.00716757,0.461677,0.00960024,0.183249,0.261667,0.0236842,0.325132,0.0283947,6.07206678739e-321,0.089013,1.69908,0.266594,0.104467,1.65055,0.00190246,0.257386,0.00296384,0.0565738,0.0602003,0.00621734,0.233996,0.000211076,0.0407266,1.30744e-08,2.49564e-07,0.00450795,0.000247238,13.3812,0.221282,4.08798,0.137407,2.62282,5.10903,0.416656,0.012,0.002,-0.006,0.009,-0.873,-0.010,-0.945,0.404
sqlite_medium,sqlite_app_medium,copper_clpd64k_peb,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_medium_copper_clpd64k_peb_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_medium_copper_clpd64k_peb_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_medium_copper_clpd64k_peb,52394046840,157339480,3003,63359788,63163364,16549675,10738351,13829398,63359788,0,601323,658170,20982871,16618189,10737410,449998,89157,63360304,3222166,3795394,3604289,112655,1128,63361663,10598,16620582,29838,2.42687,0.00716757,0.461677,0.00960026,0.183232,0.261667,0.0236856,0.325132,0.0283947,7.43568796991e-321,0.0890217,1.69908,0.266594,0.104477,1.65055,0.00190246,0.257386,0.00296384,0.0565681,0.0602003,0.00621765,0.233996,0.000211076,0.0407266,1.31443e-08,2.50874e-07,0.00450795,0.000247262,13.3736,0.221282,4.08798,0.137416,2.62274,5.10903,0.416693,0.009,0.009,0.003,0.000,-0.353,-0.000,-0.948,0.292
sqlite_medium,sqlite_app_medium,spp,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_medium_spp_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_medium_spp_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_medium_spp,50495726727,151638819,3003,63353193,63156836,16548182,10736844,13828344,63353193,0,601283,658066,20980474,16616691,10735922,350418,60494,63353709,3221147,4153899,3749190,164533,1915,63355041,10571,16619056,29776,2.42687,0.00716757,0.461677,0.00959919,0.190099,0.261667,0.0231742,0.325132,0.0283947,0,0.0857963,1.69908,0.266594,0.100692,1.65055,0.00190246,0.257386,0.00294613,0.0583441,0.0602003,0.00608206,0.233996,0.000211076,0.0407266,2.2315e-08,4.41918e-07,0.00450795,0.000238313,13.3369,0.221282,4.08798,0.133618,2.64612,5.10903,0.402776,0.901,-2.755,-3.337,3.748,75.529,-3.623,-22.867,46.477
sqlite_medium,sqlite_app_medium,spp_copper_slack,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_medium_spp_copper_slack_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_medium_spp_copper_slack_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_medium_spp_copper_slack,50499202248,151649256,3003,63353177,63156820,16548179,10736842,13828339,63353177,0,601283,658066,20980468,16616688,10735920,350553,61135,63353693,3221010,4173105,3763942,164506,1912,63355025,10570,16619051,29786,2.42687,0.00716757,0.461677,0.00959917,0.190085,0.261667,0.0231751,0.325132,0.0283947,5.86455921614e-321,0.0858022,1.69908,0.266594,0.100699,1.65055,0.00190246,0.257386,0.00294624,0.0583422,0.0602003,0.00608238,0.233996,0.000211076,0.0407266,2.22801e-08,4.41196e-07,0.00450795,0.00023833,13.3755,0.221282,4.08798,0.133635,2.64628,5.10903,0.402812,0.907,-2.743,-3.328,3.740,75.243,-3.617,-22.837,46.453
sqlite_stress,sqlite_app_stress,none,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_stress_none_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_stress_none_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_stress_none,104853074301,314874097,3003,125111214,124795314,32936606,21065357,27337705,125111214,0,1358205,1316335,41097006,33081393,21115661,903096,178649,125111888,6400539,7488432,7105679,220145,1190,125113307,16597,33083861,75081,2.42687,0.00716757,0.461677,0.0189635,0.180858,0.261667,0.0471517,0.325132,0.0283947,6.14617663427e-321,0.178154,1.69908,0.266594,0.209084,1.65055,0.00190246,0.257386,0.00587266,0.0560084,0.0602003,0.0123843,0.233996,0.000211076,0.0407266,1.38668e-08,1.32249e-07,0.00450795,0.000494819,13.3784,0.221282,4.08798,0.274317,2.6162,5.10903,0.833217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
sqlite_stress,sqlite_app_stress,naive,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_stress_naive_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_stress_naive_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_stress_naive,104845717998,314852006,3003,125111198,124795306,32936604,21065364,27337710,125111198,0,1358205,1316335,41096980,33081391,21115668,898093,182491,125111872,6400435,7564734,7150498,222290,1185,125113292,16570,33083858,75070,2.42687,0.00716757,0.461677,0.0189635,0.180871,0.261667,0.0471497,0.325132,0.0283947,0,0.178141,1.69908,0.266594,0.20907,1.65055,0.00190246,0.257386,0.00587254,0.0560112,0.0602003,0.0123838,0.233996,0.000211076,0.0407266,1.38085e-08,1.31703e-07,0.00450795,0.000494784,13.3871,0.221282,4.08798,0.274338,2.61658,5.10903,0.833199,0.015,0.008,-0.002,0.007,-0.413,-0.007,-0.554,0.974
sqlite_stress,sqlite_app_stress,copper_clpd64k_peb,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_stress_copper_clpd64k_peb_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_stress_copper_clpd64k_peb_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_stress_copper_clpd64k_peb,104813948799,314756603,3003,125111162,124795270,32936600,21065360,27337698,125111162,0,1358205,1316335,41096964,33081387,21115664,897473,182228,125111836,6400337,7556604,7147523,221303,1185,125113254,16569,33083848,75039,2.42687,0.00716757,0.461677,0.0189635,0.180925,0.261667,0.0471411,0.325132,0.0283947,5.19262993779e-321,0.178087,1.69908,0.266594,0.209006,1.65055,0.00190246,0.257386,0.00587242,0.056027,0.0602003,0.0123817,0.233996,0.000211076,0.0407266,1.38085e-08,1.31743e-07,0.00450795,0.000494634,13.3369,0.221282,4.08798,0.274268,2.61671,5.10903,0.832959,0.019,-0.018,-0.031,0.037,-0.383,-0.037,-0.623,0.526
sqlite_stress,sqlite_app_stress,spp,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_stress_spp_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_stress_spp_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_stress_spp,102140339751,306727747,3003,125102940,124787097,32934648,21063510,27336308,125102940,0,1358205,1316226,41094043,33079430,21113828,717404,123264,125103614,6399927,8306221,7388804,422495,2101,125104992,16617,33081887,75052,2.42687,0.00716757,0.461677,0.0189623,0.185649,0.261667,0.0464211,0.325132,0.0283947,6.70447081407e-321,0.173545,1.69908,0.266594,0.203675,1.65055,0.00190246,0.257386,0.00583955,0.0571718,0.0602003,0.0121828,0.233996,0.000211076,0.0407266,2.44824e-08,2.39694e-07,0.00450795,0.000482028,13.3369,0.221282,4.08798,0.269079,2.6344,5.10903,0.813519,0.696,-1.909,-2.364,2.649,81.244,-2.587,-20.562,91.917
sqlite_stress,sqlite_app_stress,spp_copper_slack,ooo_proxy,ok,research/results/mcpat_copper_sensitivity_20260618/xml/sqlite_stress_spp_copper_slack_ooo_proxy.xml,research/results/mcpat_copper_sensitivity_20260618/mcpat_out/sqlite_stress_spp_copper_slack_ooo_proxy.txt,research/results/gem5_arm_ubuntu_fs_sqlite_app_stress_spp_copper_slack,102179909475,306846575,3003,125107418,124791541,32935808,21064386,27337180,125107418,0,1358205,1316232,41095607,33080591,21114685,723200,124841,125108092,6399697,8367968,7418596,423103,2133,125109471,16601,33083043,75053,2.42687,0.00716757,0.461677,0.0189629,0.185583,0.261667,0.0464324,0.325132,0.0283947,6.87245313365e-321,0.173612,1.69908,0.266594,0.203754,1.65055,0.00190246,0.257386,0.00584077,0.0571615,0.0602003,0.0121864,0.233996,0.000211076,0.0407266,2.48553e-08,2.4325e-07,0.00450795,0.000482215,13.3369,0.221282,4.08798,0.269191,2.63448,5.10903,0.813842,0.699,-1.869,-2.325,2.613,83.933,-2.549,-19.920,92.193
