workload,policy,sim_ticks,insts_not_nop,l1d_demand_accesses,l1d_demand_misses,l1d_demand_mshr_misses,l1d_hardpf_mshr_misses,l1d_hardpf_mshr_primary,l1d_hardpf_mshr_companion,l1d_replacements,l1d_writebacks,l1d_blocked_no_mshrs,l2_demand_accesses,l2_demand_misses,l2_demand_mshr_misses,l2_overall_mshr_misses,l2_hardpf_mshr_misses,l2_replacements,l2_writebacks,membus_pkt_count_total,membus_pkt_size_total,dram_read_reqs,dram_write_reqs,dram_read_bursts,dram_write_bursts,dram_num_rd_retry,dram_num_wr_retry,dram_max_avg_rd_q_len,dram_max_avg_wr_q_len,pfIssued,pfUseful,pointerLikeCandidates,learnedProofs,allowedCandidates,blockedNoProvenance,fillPrefetchTranslated,fillPrefetchTranslatedIssued,fillPrefetchTranslationFault,fillPrefetchTranslationUnavailable,fillPrefetchDroppedCrossPage,targetLineWitnessHits,targetLineWitnessMisses,targetLineWitnessEvictions,carriedProvenanceTerminalStops,carriedProvenanceHits,carriedProvenanceMisses,boundaryAuthorityEntriesDropped,boundaryPrefetchesDropped,sim_ticks_delta_vs_none_pct,l1d_demand_misses_delta_vs_none_pct,l1d_demand_mshr_misses_delta_vs_none_pct,l1d_hardpf_mshr_misses_delta_vs_none_pct,l1d_replacements_delta_vs_none_pct,l2_demand_misses_delta_vs_none_pct,l2_replacements_delta_vs_none_pct,membus_pkt_size_total_delta_vs_none_pct,dram_read_reqs_delta_vs_none_pct,dram_write_reqs_delta_vs_none_pct,spp_reference_present,sim_ticks_delta_vs_spp_pct,l1d_hardpf_mshr_misses_delta_vs_spp_pct,membus_pkt_size_total_delta_vs_spp_pct,l2_replacements_delta_vs_spp_pct,l1d_hardpf_companion_share_pct
sqlite_medium,none,52394114439,63163423,27380960,563217,563205,0,0,0,564133,362735,0,3769292,112327,112327,112327,0,125779,46723,365911,10056566,110389,46723,110389,46723,0,0,1.000,56.650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,yes,3.760,-100.000,-26.163,-23.112,0.00
sqlite_medium,naive,52388923635,63163222,27380890,560830,559285,32952,0,0,593173,382268,0,3798308,112781,112781,112781,0,126265,46802,367317,10091126,110850,46802,110850,46802,0,0,1.000,56.820,42507,12243,58835,2038,58835,0,31576,31576,0,16326,16326,31576,16326,0,0,0,0,0,0,-0.010,-0.424,-0.696,,5.148,0.404,0.386,0.344,0.418,0.169,yes,3.749,-93.839,-25.909,-22.815,0.00
sqlite_medium,copper_clpd64k_peb,52394046840,63163364,27380935,560745,559338,30041,0,0,590311,380892,0,3795394,112655,112655,112655,0,126135,46771,366930,10080822,110720,46771,110720,46771,0,0,1.000,56.880,46041,11605,72328,1235,47252,25076,29459,29459,0,1211,1211,29459,1211,0,104325,133911,0,19725,0,-0.000,-0.439,-0.687,,4.640,0.292,0.283,0.241,0.300,0.103,yes,3.759,-94.383,-25.985,-22.895,0.00
sqlite_medium,spp,50495726727,63156836,27377946,425168,394971,534810,0,0,929104,526027,0,4153899,164533,164533,164533,0,163588,50078,493931,13619894,162711,50078,162711,50078,0,0,1.140,56.630,1177907,239401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.623,-24.511,-29.871,,64.696,46.477,30.060,35.433,47.398,7.181,yes,0.000,0.000,0.000,0.000,0.00
sqlite_medium,spp_copper_slack,50499202248,63156820,27377941,425977,394660,554466,533513,20953,948455,540920,0,4173105,164506,164506,164506,0,163532,50107,493857,13619830,162681,50107,162681,50107,0,0,1.140,56.800,1214598,245244,115335,720,42823,72512,25019,25019,0,1778,1778,25019,1778,0,108593,144677,0,10458,0,-3.617,-24.367,-29.926,,68.126,46.453,30.015,35.432,47.371,7.243,yes,0.007,3.675,-0.000,-0.034,3.78
sqlite_stress,none,104853074301,124795314,54242119,1120412,1120400,0,0,0,1121438,703818,0,7488432,220145,220145,220145,0,245456,89438,709935,19685882,218132,89438,218132,89438,0,0,1.000,56.770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,yes,2.656,-100.000,-41.526,-42.015,0.00
sqlite_stress,naive,104845717998,124795306,54242124,1119261,1114193,82619,0,0,1197856,748745,0,7564734,222290,222290,222290,0,247602,89656,716441,19837370,220281,89656,220281,89656,0,0,1.000,57.190,102184,25143,145412,4202,145412,0,75974,75974,0,43226,43226,75974,43226,12319,0,0,0,0,0,-0.007,-0.103,-0.554,,6.814,0.974,0.874,0.770,0.985,0.244,yes,2.649,-92.480,-41.076,-41.508,0.00
sqlite_stress,copper_clpd64k_peb,104813948799,124795270,54242116,1118376,1113301,75495,0,0,1189836,745868,0,7556604,221303,221303,221303,0,246654,89411,713456,19758714,219297,89411,219297,89411,0,0,1.000,57.350,109163,24211,168158,2662,111706,56452,70033,70033,0,2543,2543,70033,2543,1065,222443,289852,0,19725,0,-0.037,-0.182,-0.634,,6.099,0.526,0.488,0.370,0.534,-0.030,yes,2.618,-93.129,-41.310,-41.732,0.00
sqlite_stress,spp,102140339751,124787097,54238317,865108,804538,1098726,0,0,1902540,986645,0,8306221,422495,422495,422495,0,423311,105544,1268229,33666170,420468,105544,420468,105544,0,0,1.150,56.960,2317251,472866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.587,-22.787,-28.192,,69.652,91.917,72.459,71.017,92.759,18.008,yes,0.000,0.000,0.000,0.000,0.00
sqlite_stress,spp_copper_slack,102179909475,124791541,54240335,872534,808606,1156634,1106926,49708,1964575,1016635,0,8367968,423103,423103,423103,0,423908,105425,1270083,33698170,421087,105425,421087,105425,0,0,1.150,57.340,2426579,483854,273251,1176,97413,175838,54545,54545,0,4224,4224,54545,4224,0,235037,323572,0,10458,0,-2.549,-22.124,-27.829,,75.184,92.193,72.702,71.179,93.042,17.875,yes,0.039,5.270,0.095,0.141,4.30
