benchmark,input,seed,config,evidence_level,simulator,demand_loads,prefetch_loads,total_memory_requests,traffic_overhead_pct,bandwidth_pressure_metric,log_path,notes
linked_list,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,128,0,128,0.000000,18.951732,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
linked_list,small,1,next_line,core_integrated,deterministic_core_integrated_model,128,32,160,25.000000,23.633678,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
linked_list,small,1,stride,core_integrated,deterministic_core_integrated_model,128,4,132,3.125000,20.134228,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
linked_list,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,128,31,159,24.218750,42.581682,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
linked_list,small,1,copper,core_integrated,deterministic_core_integrated_model,128,0,128,0.000000,18.951732,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
tree_traversal,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,48,0,48,0.000000,18.065487,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
tree_traversal,small,1,next_line,core_integrated,deterministic_core_integrated_model,48,16,64,33.333333,24.087317,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
tree_traversal,small,1,stride,core_integrated,deterministic_core_integrated_model,48,0,48,0.000000,18.065487,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
tree_traversal,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,48,15,63,31.250000,24.352532,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
tree_traversal,small,1,copper,core_integrated,deterministic_core_integrated_model,48,0,48,0.000000,18.065487,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
hash_table_chaining,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,192,0,192,0.000000,30.823567,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
hash_table_chaining,small,1,next_line,core_integrated,deterministic_core_integrated_model,192,24,216,12.500000,34.676513,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
hash_table_chaining,small,1,stride,core_integrated,deterministic_core_integrated_model,192,15,207,7.812500,34.807466,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
hash_table_chaining,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,192,20,212,10.416667,34.737015,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
hash_table_chaining,small,1,copper,core_integrated,deterministic_core_integrated_model,192,0,192,0.000000,30.823567,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
graph_adjacency_walk,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,80,0,80,0.000000,17.493986,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
graph_adjacency_walk,small,1,next_line,core_integrated,deterministic_core_integrated_model,80,27,107,33.750000,23.367547,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
graph_adjacency_walk,small,1,stride,core_integrated,deterministic_core_integrated_model,80,15,95,18.750000,21.195895,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
graph_adjacency_walk,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,80,12,92,15.000000,25.034014,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
graph_adjacency_walk,small,1,copper,core_integrated,deterministic_core_integrated_model,80,0,80,0.000000,17.493986,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
branchy_pointer_chains,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,20.421187,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
branchy_pointer_chains,small,1,next_line,core_integrated,deterministic_core_integrated_model,64,20,84,31.250000,26.802808,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
branchy_pointer_chains,small,1,stride,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,20.421187,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
branchy_pointer_chains,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,64,17,81,26.562500,26.679842,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
branchy_pointer_chains,small,1,copper,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,20.421187,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
array_scan,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,9.062589,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
array_scan,small,1,next_line,core_integrated,deterministic_core_integrated_model,64,64,128,100.000000,19.002375,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
array_scan,small,1,stride,core_integrated,deterministic_core_integrated_model,64,62,126,96.875000,18.716578,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
array_scan,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,9.062589,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
array_scan,small,1,copper,core_integrated,deterministic_core_integrated_model,64,0,64,0.000000,9.062589,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
matrix_or_array_loop,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,36,0,36,0.000000,9.273570,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
matrix_or_array_loop,small,1,next_line,core_integrated,deterministic_core_integrated_model,36,36,72,100.000000,19.480519,research/results/logs/core_integrated/core_integrated_eval.jsonl,Bandwidth pressure is total memory requests per 1000 modeled core cycles.
