benchmark,input,seed,config,evidence_level,simulator,cycles,instructions,ipc,cache_misses,memory_stalls,speedup_vs_no_prefetch,speedup_vs_best_baseline,status,log_path,notes
linked_list,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,6754,2304,0.34113118,32,3072,1.000000,0.552858,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
linked_list,small,1,next_line,core_integrated,deterministic_core_integrated_model,6770,2304,0.34032496,32,3072,0.997637,0.551551,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
linked_list,small,1,stride,core_integrated,deterministic_core_integrated_model,6556,2304,0.35143380,30,2880,1.030201,0.569555,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
linked_list,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,3734,2304,0.61703267,1,96,1.808784,1.000000,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
linked_list,small,1,copper,core_integrated,deterministic_core_integrated_model,6754,2304,0.34113118,32,3072,1.000000,0.552858,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5. COPPER is slower than the best baseline on this row; regression is retained."
tree_traversal,small,1,no_prefetch,core_integrated,deterministic_core_integrated_model,2657,736,0.27700414,16,1536,1.000000,0.973654,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
tree_traversal,small,1,next_line,core_integrated,deterministic_core_integrated_model,2657,736,0.27700414,16,1536,1.000000,0.973654,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
tree_traversal,small,1,stride,core_integrated,deterministic_core_integrated_model,2657,736,0.27700414,16,1536,1.000000,0.973654,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
tree_traversal,small,1,simple_pointer_chase,core_integrated,deterministic_core_integrated_model,2587,736,0.28449942,1,1536,1.027058,1.000000,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5."
tree_traversal,small,1,copper,core_integrated,deterministic_core_integrated_model,2657,736,0.27700414,16,1536,1.000000,0.973654,PASS,research/results/logs/core_integrated/core_integrated_eval.jsonl,"Deterministic core_integrated validation with fetch/issue width, ROB pressure, load-queue pressure, branch penalty, and memory-system timing. Not gem5. COPPER is slower than the best baseline on this row; regression is retained."
