benchmark,input,seed,config,evidence_level,energy_model,demand_accesses,prefetch_accesses,total_accesses,estimated_memory_energy_pj,estimated_logic_energy_pj,total_estimated_energy_pj,energy_overhead_pct,assumptions,notes
linked_list,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,128,0,128,15360.000,337.700,15697.700,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
linked_list,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,128,32,160,19200.000,338.500,19538.500,24.467279,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
linked_list,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,128,4,132,15840.000,327.800,16167.800,2.994706,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
linked_list,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,128,31,159,19080.000,186.700,19266.700,22.735815,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
linked_list,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,128,0,128,15360.000,337.700,15697.700,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
tree_traversal,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,48,0,48,5760.000,132.850,5892.850,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
tree_traversal,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,48,16,64,7680.000,132.850,7812.850,32.581858,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
tree_traversal,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,48,0,48,5760.000,132.850,5892.850,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
tree_traversal,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,48,15,63,7560.000,129.350,7689.350,30.486098,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
tree_traversal,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,48,0,48,5760.000,132.850,5892.850,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
hash_table_chaining,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,192,0,192,23040.000,311.450,23351.450,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
hash_table_chaining,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,192,24,216,25920.000,311.450,26231.450,12.333281,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
hash_table_chaining,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,192,15,207,24840.000,297.350,25137.350,7.647919,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
hash_table_chaining,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,192,20,212,25440.000,305.150,25745.150,10.250755,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
hash_table_chaining,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,192,0,192,23040.000,311.450,23351.450,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
graph_adjacency_walk,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,80,0,80,9600.000,228.650,9828.650,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
graph_adjacency_walk,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,80,27,107,12840.000,228.950,13068.950,32.967905,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
graph_adjacency_walk,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,80,15,95,11400.000,224.100,11624.100,18.267514,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
graph_adjacency_walk,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,80,12,92,11040.000,183.750,11223.750,14.194218,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
graph_adjacency_walk,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,80,0,80,9600.000,228.650,9828.650,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
branchy_pointer_chains,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,156.700,7836.700,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
branchy_pointer_chains,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,64,20,84,10080.000,156.700,10236.700,30.625136,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
branchy_pointer_chains,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,156.700,7836.700,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
branchy_pointer_chains,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,64,17,81,9720.000,151.800,9871.800,25.968839,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
branchy_pointer_chains,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,156.700,7836.700,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
array_scan,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,353.100,8033.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
array_scan,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,64,64,128,15360.000,336.800,15696.800,95.401526,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
array_scan,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,64,62,126,15120.000,336.600,15456.600,92.411398,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
array_scan,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,353.100,8033.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
array_scan,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,64,0,64,7680.000,353.100,8033.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
matrix_or_array_loop,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,36,0,36,4320.000,194.100,4514.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
matrix_or_array_loop,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,36,36,72,8640.000,184.800,8824.800,95.494118,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
matrix_or_array_loop,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,36,34,70,8400.000,184.600,8584.600,90.173013,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
matrix_or_array_loop,small,1,simple_pointer_chase,proxy_assumed,memory_traffic_proxy_v1,36,0,36,4320.000,194.100,4514.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
matrix_or_array_loop,small,1,copper,proxy_assumed,memory_traffic_proxy_v1,36,0,36,4320.000,194.100,4514.100,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
compute_heavy_low_memory,small,1,no_prefetch,proxy_assumed,memory_traffic_proxy_v1,32,0,32,3840.000,237.000,4077.000,0.000000,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
compute_heavy_low_memory,small,1,next_line,proxy_assumed,memory_traffic_proxy_v1,32,8,40,4800.000,204.100,5004.100,22.739760,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
compute_heavy_low_memory,small,1,stride,proxy_assumed,memory_traffic_proxy_v1,32,6,38,4560.000,213.300,4773.300,17.078734,"proxy_assumed; source=explicit_local_assumption_not_measured; demand_access_pj=120.0; prefetch_access_pj=120.0; logic_cycle_pj=0.05; not calibrated to silicon, CACTI, McPAT, Vivado, or a process library",Proxy derived from research/results/core_integrated_memory_traffic.csv and research/results/core_integrated_performance.csv; not measured power.
