benchmark,input,seed,config,evidence_level,simulator,demand_loads,prefetch_loads,total_memory_requests,traffic_overhead_pct,bandwidth_pressure_metric,log_path,notes
mibench_patricia,patricia_large12288_seed1,1,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,1201292,0,1201292,0.000000,1.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,1062165,187538,1249703,4.029911,1.040299,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,copper,gem5_full_system,gem5 ARM full-system imported summary,1064120,170570,1234690,2.780173,1.027802,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,spp,gem5_full_system,gem5 ARM full-system imported summary,671627,2450616,3122243,159.907083,2.599071,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,624340,2511367,3135707,161.027877,2.610279,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,1196911,0,1196911,0.000000,1.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,1059190,184656,1243846,3.921344,1.039213,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,copper,gem5_full_system,gem5 ARM full-system imported summary,1061146,167486,1228632,2.650239,1.026502,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,spp,gem5_full_system,gem5 ARM full-system imported summary,673883,2429559,3103442,159.287616,2.592876,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,625181,2499727,3124908,161.081066,2.610811,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,183984,0,183984,0.000000,1.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,183799,3967,187766,2.055614,1.020556,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,copper,gem5_full_system,gem5 ARM full-system imported summary,183874,1982,185856,1.017480,1.010175,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,spp,gem5_full_system,gem5 ARM full-system imported summary,88950,600438,689388,274.699974,3.747000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,88887,601092,689979,275.021197,3.750212,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,302886,0,302886,0.000000,1.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_small2048,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,288912,24325,313237,3.417457,1.034175,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv; checksum=0x11f999a2549d757f; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
