benchmark,input,seed,config,evidence_level,simulator,prefetches_issued,useful_prefetches,useless_prefetches,late_prefetches,queue_drops,coverage,accuracy,lateness_rate,log_path,notes
mibench_patricia,patricia_large12288_seed1,1,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,187538,1393,186145,17909,0,0.001160,0.007428,0.095495,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,copper,gem5_full_system,gem5 ARM full-system imported summary,170570,1099,169471,398,56926,0.000915,0.006443,0.002333,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,spp,gem5_full_system,gem5 ARM full-system imported summary,2450616,434972,2015644,0,0,0.362087,0.177495,0.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288_seed1,1,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,2511367,435891,2075476,567,457557,0.362852,0.173567,0.000226,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv; checksum=0xe4dc12fd1dcd52b0; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,naive_dmp,gem5_full_system,gem5 ARM full-system imported summary,184656,1451,183205,18454,0,0.001212,0.007858,0.099937,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=naive; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,copper,gem5_full_system,gem5 ARM full-system imported summary,167486,1103,166383,381,58324,0.000922,0.006586,0.002275,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=copper_clpd64k_peb; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,spp,gem5_full_system,gem5 ARM full-system imported summary,2429559,428396,2001163,0,0,0.357918,0.176327,0.000000,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=spp; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_large12288,0,spp_copper_slack,gem5_full_system,gem5 ARM full-system imported summary,2499727,429498,2070229,635,456541,0.358839,0.171818,0.000254,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv; checksum=0x60874357358c1fc4; policy=spp_copper_slack; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
mibench_patricia,patricia_preprobe,0,no_prefetch,gem5_full_system,gem5 ARM full-system imported summary,0,0,0,0,0,0.000000,NA,NA,research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv,Imported from research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv; checksum=0xe9324f49c2b21a34; policy=none; rc=0 for every row in this summary. The cycles field records gem5 ROI ticks from the summary CSV.
