benchmark,input,seed,config,evidence_level,simulator,demand_loads,prefetch_loads,total_memory_requests,traffic_overhead_pct,bandwidth_pressure_metric,log_path,notes
linked_list,small,1,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.758047,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,1,next_line,independent_sim,source_backed_trace_event_sim_v1,384,350,734,91.145833,15.862039,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,1,stride,independent_sim,source_backed_trace_event_sim_v1,384,10,394,2.604167,18.303447,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,1,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,384,121,505,31.510417,23.223730,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,1,copper,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.758047,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,2,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.937220,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,2,next_line,independent_sim,source_backed_trace_event_sim_v1,384,342,726,89.062500,15.765472,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,2,stride,independent_sim,source_backed_trace_event_sim_v1,384,14,398,3.645833,18.673173,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,2,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,384,119,503,30.989583,23.366005,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,2,copper,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.937220,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,3,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.758047,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,3,next_line,independent_sim,source_backed_trace_event_sim_v1,384,345,729,89.843750,16.017402,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,3,stride,independent_sim,source_backed_trace_event_sim_v1,384,16,400,4.166667,18.577002,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,3,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,384,121,505,31.510417,23.223730,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
linked_list,small,3,copper,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.758047,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,1,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.857143,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,1,next_line,independent_sim,source_backed_trace_event_sim_v1,384,384,768,100.000000,15.503876,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,1,stride,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.857143,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,1,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,384,127,511,33.072917,23.623503,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,1,copper,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.857143,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,2,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,384,0,384,0.000000,17.857143,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
tree_traversal,small,2,next_line,independent_sim,source_backed_trace_event_sim_v1,384,384,768,100.000000,15.503876,research/results/logs/independent_sim/independent_sim_eval.jsonl,Bandwidth pressure is total memory requests per 1000 independent-sim cycles.
