benchmark,input,seed,config,evidence_level,simulator,cycles,instructions,ipc,cache_misses,memory_stalls,speedup_vs_no_prefetch,speedup_vs_best_baseline,status,log_path,notes
linked_list,small,1,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,21624,5376,0.24861265,122,13664,1.000000,0.995468,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,1,next_line,independent_sim,source_backed_trace_event_sim_v1,46274,5376,0.11617755,347,38864,0.467303,0.465186,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,1,stride,independent_sim,source_backed_trace_event_sim_v1,21526,5376,0.24974450,121,13552,1.004553,1.000000,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,1,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,21745,5376,0.24722925,1,13664,0.994436,0.989929,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,1,copper,independent_sim,source_backed_trace_event_sim_v1,21624,5376,0.24861265,122,13664,1.000000,0.995468,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated. COPPER is slower than the best baseline on this row; regression is retained."
linked_list,small,2,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,21408,5376,0.25112108,120,13440,1.000000,0.995609,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,2,next_line,independent_sim,source_backed_trace_event_sim_v1,46050,5376,0.11674267,345,38640,0.464886,0.462845,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,2,stride,independent_sim,source_backed_trace_event_sim_v1,21314,5376,0.25222858,116,13328,1.004410,1.000000,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,2,simple_pointer_chase,independent_sim,source_backed_trace_event_sim_v1,21527,5376,0.24973289,1,13440,0.994472,0.990105,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
linked_list,small,2,copper,independent_sim,source_backed_trace_event_sim_v1,21408,5376,0.25112108,120,13440,1.000000,0.995609,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated. COPPER is slower than the best baseline on this row; regression is retained."
linked_list,small,3,no_prefetch,independent_sim,source_backed_trace_event_sim_v1,21624,5376,0.24861265,122,13664,1.000000,0.995745,PASS,research/results/logs/independent_sim/independent_sim_eval.jsonl,"Source-built workload binary executed; checksum=16986874778739416114. Independent trace/event simulator; not gem5, cycle_model, or core_integrated."
