ignored 87 local-only gem5 summary file(s); set COPPER_ALLOW_LOCAL_GEM5_SUMMARIES=1 to include non-tracked local experiments outside the public CI evidence path
research/results/gem5_arm_ubuntu_fs_cachesvc_app/cachesvc_app_medium_key_summary.csv__seed2__poison1 imported: imported 8 rows, checksum 0x3d38f00f0464cb72, rc=0
research/results/gem5_arm_ubuntu_fs_cachesvc_app/cachesvc_app_small_summary.csv__seed2__poison1 imported: imported 8 rows, checksum 0xd8e12b7b2c5a2f4b, rc=0
research/results/gem5_arm_ubuntu_fs_cachesvc_app/cachesvc_codex_raw_smoke_seed8_summary.csv__seed8__poison1 imported: imported 2 rows, checksum 0x2dcec9e2a2c74de5, rc=0
research/results/gem5_arm_ubuntu_fs_cachesvc_app/cachesvc_codex_raw_smoke_summary.csv__seed7__poison1 imported: imported 2 rows, checksum 0x37fad5aec212d5f4, rc=0
research/results/gem5_arm_ubuntu_fs_duktape_app/duktape_app_medium_summary.csv__poison1 imported: imported 8 rows, checksum 0x2e53ef0, rc=0
research/results/gem5_arm_ubuntu_fs_duktape_app/duktape_app_stress_summary.csv__poison1 imported: imported 8 rows, checksum 0x3928cced, rc=0
research/results/gem5_arm_ubuntu_fs_jsonsqlite_app/jsonsqlite_app_medium_summary.csv__seed3__poison1 imported: imported 8 rows, checksum 0xb8236aed9f7723ec, rc=0
research/results/gem5_arm_ubuntu_fs_jsonsqlite_app/jsonsqlite_app_stress_summary.csv__seed4__poison1 imported: imported 8 rows, checksum 0x349368bc3162ec49, rc=0
research/results/gem5_arm_ubuntu_fs_lua_app/lua_app_medium_summary.csv__seed0__poison1 skipped: no none baseline row
research/results/gem5_arm_ubuntu_fs_lua_app/lua_app_medium_summary.csv__poison1 imported: imported 5 rows, checksum 0x1087e661, rc=0
research/results/gem5_arm_ubuntu_fs_lua_app/lua_app_stress_summary.csv__seed0__poison1 imported: imported 8 rows, checksum 0x7c4170c4, rc=0
research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_seed1_summary.csv__seed1 imported: imported 5 rows, checksum 0xe4dc12fd1dcd52b0, rc=0
research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_large12288_summary.csv__seed0 imported: imported 5 rows, checksum 0x60874357358c1fc4, rc=0
research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_preprobe_summary.csv__seed0 imported: imported 5 rows, checksum 0xe9324f49c2b21a34, rc=0
research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small2048_summary.csv__seed0 imported: imported 5 rows, checksum 0x11f999a2549d757f, rc=0
research/results/gem5_arm_ubuntu_fs_mibench_patricia_app/mibench_patricia_patricia_small8192_summary.csv__seed0 imported: imported 5 rows, checksum 0xd4f96d52a9711657, rc=0
research/results/gem5_arm_ubuntu_fs_ossltlstcp_app/ossltlstcp_tcp_netns_process_scale2_summary.csv__stats_section_index0__seed2__poison1__transporttcp_loopback_netns_proce__strict_tcp1__netns_loopback1 imported: imported 5 rows, checksum 0x703cb54ece76864c, rc=0
research/results/gem5_arm_ubuntu_fs_ossltlstcp_app/ossltlstcp_tcp_netns_process_scale3_summary.csv__stats_section_index0__seed3__poison1__transporttcp_loopback_netns_proce__strict_tcp1__netns_loopback1 imported: imported 5 rows, checksum 0x46e083abee222484, rc=0
research/results/gem5_arm_ubuntu_fs_pcre2_app/pcre2_pcre2_seed1_summary.csv__seed1__poison1 imported: imported 5 rows, checksum 0xfc469fc668f4c38c, rc=0
research/results/gem5_arm_ubuntu_fs_pcre2_app/pcre2_pcre2_smoke_summary.csv__seed0__poison1 imported: imported 5 rows, checksum 0x70905e0adac9ac17, rc=0
research/results/gem5_arm_ubuntu_fs_sqlite_app/sqlite_app_medium_summary.csv__poison1 imported: imported 8 rows, checksum 0x6f120768e4acf50e, rc=0
research/results/gem5_arm_ubuntu_fs_sqlite_app/sqlite_app_stress_summary.csv__poison1 imported: imported 8 rows, checksum 0xc91843372c7ddc37, rc=0
research/results/gem5_arm_ubuntu_fs_yyjson_app/yyjson_app_medium_summary.csv__seed2__poison1 imported: imported 8 rows, checksum 0x5913918638a88fc6, rc=0
research/results/gem5_arm_ubuntu_fs_yyjson_app/yyjson_app_stress_summary.csv__seed2__poison1 imported: imported 8 rows, checksum 0xa79b34679333f240, rc=0
research/results/gem5_arm_ubuntu_fs_zlib_app/zlib_codex_raw_zlib_tiny_seed12_summary.csv__seed12 imported: imported 8 rows, checksum 0x4f26c4a660462fc1, rc=0
research/results/gem5_arm_ubuntu_fs_zlib_app/zlib_codex_raw_zlib_tiny_summary.csv__seed11 imported: imported 8 rows, checksum 0x7dbec8e3fca9fb9b, rc=0
research/results/gem5_arm_ubuntu_fs_zlib_app/zlib_zlib_seed1_summary.csv__seed1 imported: imported 5 rows, checksum 0x258843db93c006e3, rc=0
research/results/gem5_arm_ubuntu_fs_zlib_app/zlib_zlib_tiny_summary.csv__seed0 imported: imported 5 rows, checksum 0xf5b59076d62b0a4a, rc=0
research/results/gem5_arm_ubuntu_fs_zstd_app/zstd_zstd_seed1_summary.csv__seed1 imported: imported 5 rows, checksum 0x22c3e1e7b9a49990, rc=0
research/results/gem5_arm_ubuntu_fs_zstd_app/zstd_zstd_tiny_summary.csv__seed0 imported: imported 5 rows, checksum 0x93d05761620949ad, rc=0
