"evidence_id","scope","design","target","flow","environment","status","metric","baseline","with_copper","delta","percent_overhead","report_path","notes"
"mapped_overhead_near_core_stub_lut_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_lut","4","197","193","4825.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_ff_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_ff","65","662","597","918.461538","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_bram_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_dsp_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_fmax_mhz_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_fmax_mhz","314.961","121.036","-193.925","-61.571115","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_wns_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_wns","16.825","11.738","-5.087","-30.234770","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_tns_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_tns","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_power_mw_vivado_xc7a35tcsg324_1_vivado_impl_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","near_core_stub_power_mw","82","76","-6","-7.317073","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_lut_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_lut","1768","1954","186","10.520362","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_ff_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_ff","2543","2941","398","15.650806","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_bram_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_dsp_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_fmax_mhz_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_fmax_mhz","93.318","99.95","6.632","7.106882","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_wns_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_wns","9.284","9.995","0.711","7.658337","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_tns_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_tns","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_power_mw_vivado_xc7a35tcsg324_1_vivado_impl_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","full_core_power_mw","88","87","-1","-1.136364","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_lut_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_lut","82","271","189","230.487805","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_ff_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_ff","118","523","405","343.220339","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_bram_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_dsp_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_fmax_mhz_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_fmax_mhz","231.321","102.386","-128.935","-55.738562","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_wns_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_wns","15.677","10.233","-5.444","-34.726032","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_tns_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_tns","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_power_mw_vivado_xc7a35tcsg324_1_vivado_impl_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_power_mw","74","76","2","2.702703","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_lut_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_lut","126","271","145","115.079365","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_ff_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_ff","118","523","405","343.220339","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_bram_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_dsp_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_fmax_mhz_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_fmax_mhz","237.248","102.386","-134.862","-56.844315","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_wns_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_wns","15.785","10.233","-5.552","-35.172632","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_tns_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_tns","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_power_mw_vivado_xc7a35tcsg324_1_vivado_impl_core_wrapper_plus_baseline_prefetch_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","core_wrapper_plus_baseline_prefetch__vs__core_wrapper_plus_copper","vivado-xc7a35tcsg324-1","vivado-impl","local_windows","PASS","accepted_core_wrapper_power_mw","78","76","-2","-2.564103","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_lut_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_lut","62","944","882","1422.580645","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_ff_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_ff","59","602","543","920.338983","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_bram_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_dsp_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_cells_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_cells","72","958","886","1230.555556","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_near_core_stub_fmax_mhz_ecp5_85k_yosys_nextpnr_ecp5_nearcore_stub_baseline_nearcore_stub_plus_copper_local_windows","near_core_stub","nearcore_stub_baseline__vs__nearcore_stub_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","near_core_stub_fmax_mhz","262.74","78.09","-184.65","-70.278602","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_lut_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_lut","5336","5860","524","9.820090","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_ff_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_ff","2550","2933","383","15.019608","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_bram_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_dsp_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_cells_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_cells","5576","6100","524","9.397418","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_full_core_fmax_mhz_ecp5_85k_yosys_nextpnr_ecp5_full_core_baseline_full_core_plus_copper_local_windows","full_core","full_core_baseline__vs__full_core_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","full_core_fmax_mhz","73.59","65.92","-7.67","-10.422612","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_lut_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_lut","124","1480","1356","1093.548387","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_ff_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_ff","90","473","383","425.555556","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_bram_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_bram","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_dsp_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_dsp","0","0","0","0.000000","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_cells_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_cells","134","1490","1356","1011.940299","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
"mapped_overhead_accepted_core_wrapper_fmax_mhz_ecp5_85k_yosys_nextpnr_ecp5_baseline_core_wrapper_core_wrapper_plus_copper_local_windows","accepted_core_wrapper","baseline_core_wrapper__vs__core_wrapper_plus_copper","ecp5-85k","yosys+nextpnr-ecp5","local_windows","PASS","accepted_core_wrapper_fmax_mhz","227.63","86.15","-141.48","-62.153495","research/results/mapped_ppa.csv","Matched mapped PPA overhead from same target, flow, and constraints."
