benchmark,input,seed,config,evidence_level,demand_loads,prefetch_loads,total_memory_requests,traffic_overhead_pct,bandwidth_pressure_metric,notes
linked_list,small,1,no_prefetch,cycle_model,128,0,128,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
linked_list,small,1,next_line,cycle_model,128,32,160,25.000000,0.200000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
linked_list,small,1,stride,cycle_model,128,4,132,3.125000,0.030303,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
linked_list,small,1,simple_pointer_chase,cycle_model,128,31,159,24.218750,0.194969,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
linked_list,small,1,copper,cycle_model,128,0,128,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
tree_traversal,small,1,no_prefetch,cycle_model,48,0,48,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
tree_traversal,small,1,next_line,cycle_model,48,16,64,33.333333,0.250000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
tree_traversal,small,1,stride,cycle_model,48,0,48,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
tree_traversal,small,1,simple_pointer_chase,cycle_model,48,15,63,31.250000,0.238095,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
tree_traversal,small,1,copper,cycle_model,48,0,48,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
hash_table_chaining,small,1,no_prefetch,cycle_model,192,0,192,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
hash_table_chaining,small,1,next_line,cycle_model,192,24,216,12.500000,0.111111,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
hash_table_chaining,small,1,stride,cycle_model,192,15,207,7.812500,0.072464,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
hash_table_chaining,small,1,simple_pointer_chase,cycle_model,192,20,212,10.416667,0.094340,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
hash_table_chaining,small,1,copper,cycle_model,192,0,192,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
graph_adjacency_walk,small,1,no_prefetch,cycle_model,80,0,80,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
graph_adjacency_walk,small,1,next_line,cycle_model,80,27,107,33.750000,0.252336,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
graph_adjacency_walk,small,1,stride,cycle_model,80,15,95,18.750000,0.157895,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
graph_adjacency_walk,small,1,simple_pointer_chase,cycle_model,80,12,92,15.000000,0.130435,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
graph_adjacency_walk,small,1,copper,cycle_model,80,0,80,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
branchy_pointer_chains,small,1,no_prefetch,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
branchy_pointer_chains,small,1,next_line,cycle_model,64,20,84,31.250000,0.238095,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
branchy_pointer_chains,small,1,stride,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
branchy_pointer_chains,small,1,simple_pointer_chase,cycle_model,64,17,81,26.562500,0.209877,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
branchy_pointer_chains,small,1,copper,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
array_scan,small,1,no_prefetch,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
array_scan,small,1,next_line,cycle_model,64,64,128,100.000000,0.500000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
array_scan,small,1,stride,cycle_model,64,62,126,96.875000,0.492063,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
array_scan,small,1,simple_pointer_chase,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
array_scan,small,1,copper,cycle_model,64,0,64,0.000000,0.000000,Demand loads are all modeled demand accesses; prefetch loads are extra requests.
