benchmark,input,seed,config,evidence_level,cycles,instructions,ipc,cache_misses,memory_stalls,speedup_vs_no_prefetch,speedup_vs_best_baseline,status,notes
linked_list,small,1,no_prefetch,cycle_model,6016,2304,0.38297872,32,2560,1.000000,0.608378,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,small,1,next_line,cycle_model,6016,2304,0.38297872,32,2560,1.000000,0.608378,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,small,1,stride,cycle_model,5864,2304,0.39290587,30,2400,1.025921,0.624147,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,small,1,simple_pointer_chase,cycle_model,3660,2304,0.62950820,1,80,1.643716,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
linked_list,small,1,copper,cycle_model,6016,2304,0.38297872,32,2560,1.000000,0.608378,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
tree_traversal,small,1,no_prefetch,cycle_model,2320,736,0.31724138,16,1280,1.000000,0.508621,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,small,1,next_line,cycle_model,2320,736,0.31724138,16,1280,1.000000,0.508621,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,small,1,stride,cycle_model,2320,736,0.31724138,16,1280,1.000000,0.508621,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,small,1,simple_pointer_chase,cycle_model,1180,736,0.62372881,1,80,1.966102,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
tree_traversal,small,1,copper,cycle_model,2320,736,0.31724138,16,1280,1.000000,0.508621,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
hash_table_chaining,small,1,no_prefetch,cycle_model,5664,2688,0.47457627,24,1920,1.000000,0.731638,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,small,1,next_line,cycle_model,5664,2688,0.47457627,24,1920,1.000000,0.731638,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,small,1,stride,cycle_model,4600,2688,0.58434783,10,800,1.231304,0.900870,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,small,1,simple_pointer_chase,cycle_model,4144,2688,0.64864865,4,320,1.366795,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
hash_table_chaining,small,1,copper,cycle_model,5664,2688,0.47457627,24,1920,1.000000,0.731638,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
graph_adjacency_walk,small,1,no_prefetch,cycle_model,3972,1280,0.32225579,27,2160,1.000000,0.751259,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,small,1,next_line,cycle_model,3972,1280,0.32225579,27,2160,1.000000,0.751259,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,small,1,stride,cycle_model,2984,1280,0.42895442,14,1120,1.331099,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,small,1,simple_pointer_chase,cycle_model,3212,1280,0.39850560,17,1360,1.236613,0.929016,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
graph_adjacency_walk,small,1,copper,cycle_model,3972,1280,0.32225579,27,2160,1.000000,0.751259,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting. COPPER is slower than the best baseline on this row; regression is retained."
branchy_pointer_chains,small,1,no_prefetch,cycle_model,2672,832,0.31137725,20,1600,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,small,1,next_line,cycle_model,2672,832,0.31137725,20,1600,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,small,1,stride,cycle_model,2672,832,0.31137725,20,1600,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,small,1,simple_pointer_chase,cycle_model,2672,832,0.31137725,3,1600,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
branchy_pointer_chains,small,1,copper,cycle_model,2672,832,0.31137725,20,1600,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,small,1,no_prefetch,cycle_model,5632,640,0.11363636,64,5120,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,small,1,next_line,cycle_model,5632,640,0.11363636,1,5120,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,small,1,stride,cycle_model,5632,640,0.11363636,3,5120,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,small,1,simple_pointer_chase,cycle_model,5632,640,0.11363636,64,5120,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
array_scan,small,1,copper,cycle_model,5632,640,0.11363636,64,5120,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
matrix_or_array_loop,small,1,no_prefetch,cycle_model,3096,324,0.10465116,36,2880,1.000000,1.000000,PASS,"Deterministic cycle_model with cache hit/miss latency, memory latency, prefetch-return latency, outstanding prefetch queue, lateness, and demand/prefetch traffic accounting."
