benchmark,config,metric,evidence_level,n,mean,median,std,min,max,ci95_low,ci95_high,notes
array_scan,copper,cache_misses,cycle_model,9,213.333333,192.000000,139.484766,64.000000,384.000000,122.203286,304.463381,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,coverage,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,cycles,cycle_model,9,18773.333333,16896.000000,12274.659425,5632.000000,33792.000000,10753.889176,26792.777491,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,ipc,cycle_model,9,0.113636,0.113636,0.000000,0.113636,0.113636,0.113636,0.113636,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,memory_stalls,cycle_model,9,17066.666667,15360.000000,11158.781295,5120.000000,30720.000000,9776.262887,24357.070446,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,speedup_vs_best_baseline,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,speedup_vs_no_prefetch,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,copper,traffic_overhead_pct,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,accuracy,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,cache_misses,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,coverage,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,cycles,cycle_model,9,18773.333333,16896.000000,12274.659425,5632.000000,33792.000000,10753.889176,26792.777491,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,ipc,cycle_model,9,0.113636,0.113636,0.000000,0.113636,0.113636,0.113636,0.113636,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,lateness_rate,cycle_model,9,0.992188,0.994792,0.005967,0.984375,0.997396,0.988289,0.996086,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,memory_stalls,cycle_model,9,17066.666667,15360.000000,11158.781295,5120.000000,30720.000000,9776.262887,24357.070446,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,speedup_vs_best_baseline,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,speedup_vs_no_prefetch,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,next_line,traffic_overhead_pct,cycle_model,9,100.000000,100.000000,0.000000,100.000000,100.000000,100.000000,100.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,cache_misses,cycle_model,9,213.333333,192.000000,139.484766,64.000000,384.000000,122.203286,304.463381,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,coverage,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,cycles,cycle_model,9,18773.333333,16896.000000,12274.659425,5632.000000,33792.000000,10753.889176,26792.777491,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,ipc,cycle_model,9,0.113636,0.113636,0.000000,0.113636,0.113636,0.113636,0.113636,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,memory_stalls,cycle_model,9,17066.666667,15360.000000,11158.781295,5120.000000,30720.000000,9776.262887,24357.070446,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,speedup_vs_best_baseline,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,speedup_vs_no_prefetch,cycle_model,9,1.000000,1.000000,0.000000,1.000000,1.000000,1.000000,1.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,no_prefetch,traffic_overhead_pct,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,simple_pointer_chase,cache_misses,cycle_model,9,213.333333,192.000000,139.484766,64.000000,384.000000,122.203286,304.463381,Cycle-model summary across seeds and input sizes; regressions are retained.
array_scan,simple_pointer_chase,coverage,cycle_model,9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,Cycle-model summary across seeds and input sizes; regressions are retained.
