design,target,flow,environment,status,lut,ff,bram,dsp,cells,area_um2,fmax_mhz,wns,tns,power_mw,report_path,notes
baseline_prefetch_unit,generic,yosys,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/yosys_generic_baseline_prefetch_unit.log,Open-source generic synthesis blocked because Yosys is unavailable.
copper_unit,generic,yosys,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/yosys_generic_copper_unit.log,Open-source generic synthesis blocked because Yosys is unavailable.
copper_with_queue,generic,yosys,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/yosys_generic_copper_with_queue.log,Open-source generic synthesis blocked because Yosys is unavailable.
copper_with_tables,generic,yosys,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/yosys_generic_copper_with_tables.log,Open-source generic synthesis blocked because Yosys is unavailable.
baseline_prefetch_unit,ice40-hx8k,yosys+nextpnr-ice40,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ice40_baseline_prefetch_unit.log,Optional iCE40 place-and-route blocked because yosys is unavailable.
copper_unit,ice40-hx8k,yosys+nextpnr-ice40,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ice40_copper_unit.log,Optional iCE40 place-and-route blocked because yosys is unavailable.
copper_with_queue,ice40-hx8k,yosys+nextpnr-ice40,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ice40_copper_with_queue.log,Optional iCE40 place-and-route blocked because yosys is unavailable.
copper_with_tables,ice40-hx8k,yosys+nextpnr-ice40,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ice40_copper_with_tables.log,Optional iCE40 place-and-route blocked because yosys is unavailable.
baseline_prefetch_unit,ecp5-85k,yosys+nextpnr-ecp5,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ecp5_baseline_prefetch_unit.log,Optional ECP5 place-and-route blocked because yosys is unavailable.
copper_unit,ecp5-85k,yosys+nextpnr-ecp5,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_unit.log,Optional ECP5 place-and-route blocked because yosys is unavailable.
copper_with_queue,ecp5-85k,yosys+nextpnr-ecp5,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_with_queue.log,Optional ECP5 place-and-route blocked because yosys is unavailable.
copper_with_tables,ecp5-85k,yosys+nextpnr-ecp5,local_windows,BLOCKED,,,,,,,,,,,research/results/logs/synthesis/nextpnr_ecp5_copper_with_tables.log,Optional ECP5 place-and-route blocked because yosys is unavailable.
copper_clpd_sram_dir_clpd1k_a35t,xc7a35tcpg236-1,vivado_existing_report,local_windows,PASS,191,144,4,0,,,,2.96,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
copper_clpd_sram_dir_clpd2k_a35t,xc7a35tcpg236-1,vivado_existing_report,local_windows,PASS,198,146,8,0,,,,2.96,,,research/results/copper_clpd_sram_synth_summary.csv,Parsed from existing Vivado summary; not a fresh rerun.
